# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
1127.7000 M114 936080 2 331.7000 c105 gangs2 94 N c105->c133->p6
1128.5000 M103 1529965 2 406.5000 c105 gangs2 93 N c105->c133->p6
1128.8000 M12 381091 3 1049.8000 c106 gangs4 82 N c106->w164->p8->c113
1133.4000 M71 1694448 3 637.4000 c84 gangs3 89 N c84->c81->c113->p63
1143.0000 M53 1148271 3 782.0000 c76 gangs5 86 N c76->w174->p38->c83
1171.2000 M170 218526 1 0.2000 w156 gangs6 99 N w156->p29
1174.0000 M159 426919 2 75.0000 p26 gangs2 98 N p26->c118->p20
1174.3000 M107 588385 2 425.3000 p44 gangs7 92 N p44->c118->p20
1174.7000 M10 784239 1 1107.7000 c118 gangs2 81 N c118->p20
1189.6000 M149 1334757 1 151.6000 c98 gangs7 97 N c98->p9
1194.6000 M31 1096892 3 989.6000 c86 gangs10 83 N c86->w195->p16->p50
1194.7000 M163 1084751 4 64.7000 c93 gangs1 98 N c93->w149->c98->w146->p28
1194.7000 M52 18842 1 840.7000 p16 gangs10 85 N p16->p50
1195.5000 M135 1465411 4 250.5000 c113 gangs1 95 N c113->c81->c98->w146->p28
1196.2000 M149 1334757 2 158.2000 c98 gangs7 97 N c98->w146->p28
1196.3000 M105 82886 4 458.3000 c84 gangs1 92 N c84->c81->c98->w146->p28
1209.3000 M55 1069219 2 832.3000 p41 gangs11 86 N p41->p14->c111
1209.9000 M175 1688449 1 0.9000 p28 gangs11 99 N p28->c98
1211.7000 M175 1688449 2 2.7000 p28 gangs11 99 N p28->w146->p49
1212.2000 M55 1069219 2 835.2000 p41 gangs11 86 N p41->p14->c90
1212.4000 M100 227624 3 506.4000 w175 gangs9 91 N w175->p15->c90->p14
1212.8000 M67 667050 1 751.8000 c90 gangs3 87 N c90->p14
1216.5000 M42 76881 3 930.5000 w204 gangs7 84 N w204->p8->w149->c93
1219.7000 M52 18842 1 865.7000 p16 gangs10 85 N p16->c92
1220.3000 M31 1096892 3 1015.3000 c86 gangs10 83 N c86->w195->p16->c92
1222.4000 M177 767618 1 0.4000 p16 gangs10 99 N p16->p50
1222.8000 M177 767618 1 0.8000 p16 gangs10 99 N p16->c92
1249.0000 M27 909430 3 1070.0000 p8 gangs0 82 N p8->w149->c93->c99
1249.5000 M161 287543 2 134.5000 c90 gangs10 97 N c90->c105->p57
1252.0000 M136 1961977 1 301.0000 p1 gangs10 94 N p1->p46
1254.1000 M59 934657 1 850.1000 c119 gangs7 85 N c119->p20
1256.6000 M32 778464 1 1043.6000 w203 gangs5 82 N w203->c83
1262.7000 M1 1683834 3 1255.7000 c127 gangs10 79 N c127->c72->w160->c82
1263.5000 M110 1415680 4 495.5000 p44 gangs10 91 N p44->p15->w200->w160->c82
1263.6000 M73 148996 4 749.6000 c126 gangs10 87 N c126->w200->c72->w160->c82
1269.6000 M20 435826 5 1138.6000 p43 gangs1 81 N p43->w162->c96->c74->c80->p22
1270.0000 M116 688328 5 458.0000 w156 gangs9 92 N w156->w162->c96->c74->c80->p22
1273.8000 M163 1084751 5 143.8000 c93 gangs1 97 N c93->w149->c98->w146->w156->p1
1276.2000 M45 1022957 3 968.2000 w146 gangs10 83 N w146->w156->p1->p46
1280.8000 M51 205052 4 933.8000 w189 gangs10 84 N w189->w203->c83->w141->p50
1281.5000 M3 105969 3 1260.5000 w174 gangs3 78 N w174->p37->c123->p3
1283.9000 M80 1615307 4 718.9000 p6 gangs0 88 N p6->c133->p10->p57->p68
1286.6000 M33 1463158 4 1067.6000 w164 gangs1 82 N w164->p8->c113->c93->p28
1287.5000 M12 381091 6 1208.5000 c106 gangs4 79 N c106->w164->p8->w149->c93->p28->p9
1288.1000 M39 1030960 3 1026.1000 p30 gangs5 82 N p30->c104->p31->p19
1288.5000 M24 693083 4 1130.5000 c95 gangs6 81 N c95->c80->p7->p31->p19
1295.6000 M187 1403572 2 1.6000 c93 gangs11 99 N c93->p28->p49
1316.1000 M90 732005 5 679.1000 p4 gangs1 88 N p4->c123->p37->c74->c80->p22
1316.7000 M42 76881 2 1030.7000 w204 gangs7 82 N w204->p8->p28
1316.7000 M82 1100032 5 737.7000 w141 gangs1 87 N w141->c123->p37->c74->c80->p22
1317.2000 M81 1141482 3 747.2000 c81 gangs0 87 N c81->c113->w208->p25
1317.6000 M84 1695835 3 725.6000 p37 gangs1 87 N p37->c74->c80->p22
1317.9000 M86 1271567 5 710.9000 w201 gangs9 88 N w201->w167->w189->c113->w208->p25
1318.1000 M91 812434 4 673.1000 p38 gangs0 88 N p38->p37->c74->c80->p7
1322.9000 M82 1100032 6 743.9000 w141 gangs1 87 N w141->c123->p37->c74->c80->p7->p55
1323.8000 M84 1695835 4 731.8000 p37 gangs1 87 N p37->c74->c80->p7->p55
1324.2000 M90 732005 6 687.2000 p4 gangs1 88 N p4->c123->p37->c74->c80->p7->p55
1324.3000 M125 1738589 2 449.3000 p28 gangs10 92 N p28->w146->p46
1324.5000 M140 206918 2 345.5000 c72 gangs6 94 N c72->w200->p56
1335.2000 M173 402216 2 142.2000 p45 gangs10 97 N p45->p68->p57
1337.0000 M127 845674 3 444.0000 c78 gangs0 92 N c78->p30->c119->p11
1337.5000 M190 1551246 3 25.5000 p60 gangs8 99 N p60->w162->c80->p7
1337.6000 M39 1030960 2 1075.6000 p30 gangs5 82 N p30->c119->p11
1338.0000 M32 778464 6 1125.0000 w203 gangs5 81 N w203->p43->c72->c118->p30->c119->p11
1339.4000 M139 1069855 4 366.4000 w188 gangs10 93 N w188->c136->p56->w200->p44
1339.7000 M50 400934 4 1000.7000 w183 gangs10 83 N w183->c136->p56->w200->p44
1342.6000 M5 296032 5 1309.6000 w183 gangs11 78 N w183->c136->p56->w200->p44->c117
1343.0000 M11 691571 4 1270.0000 c136 gangs11 78 N c136->p56->w200->p44->c117
1343.6000 M55 1069219 5 966.6000 p41 gangs11 83 N p41->c136->p56->w200->p44->c117
1344.5000 M11 691571 7 1271.5000 c136 gangs11 78 N c136->w183->c82->w175->c132->p30->w159->c108
1345.0000 M54 902010 2 975.0000 p15 gangs11 83 N p15->w159->c108
1345.2000 M5 296032 6 1312.2000 w183 gangs11 78 N w183->c82->w175->c132->p30->w159->c108
1345.4000 M99 373044 3 645.4000 p40 gangs11 89 N p40->p30->w159->c108
1358.8000 M15 888463 3 1258.8000 p14 gangs3 79 N p14->p41->c136->c112
1360.9000 M117 240487 2 543.9000 p58 gangs9 90 N p58->p55->c102
1361.3000 M116 688328 5 549.3000 w156 gangs9 90 N w156->w162->c96->c74->p55->c102
1361.5000 M23 327990 4 1208.5000 p31 gangs9 79 N p31->c104->c96->p55->c102
1381.7000 M147 1846280 2 353.7000 p11 gangs8 94 N p11->c119->p48
1382.3000 M108 1031402 1 628.3000 c119 gangs8 89 N c119->p48
1383.7000 M178 1060694 3 153.7000 c88 gangs5 97 N c88->c113->w208->p23
1391.1000 M5 296032 3 1358.1000 w183 gangs11 77 N w183->c82->w175->c98
1391.6000 M54 902010 3 1021.6000 p15 gangs11 82 N p15->w177->w175->c98
1392.0000 M11 691571 4 1319.0000 c136 gangs11 78 N c136->w183->c82->w175->c98
1396.9000 M62 323670 2 971.9000 w167 gangs7 83 N w167->c108->p20
1397.0000 M115 156589 2 592.0000 w159 gangs2 90 N w159->c108->p20
1397.5000 M129 811114 2 490.5000 w159 gangs2 91 N w159->c108->p20
1398.3000 M121 1506319 1 553.3000 c108 gangs2 90 N c108->p20
1398.4000 M100 227624 2 692.4000 w175 gangs9 88 N w175->c98->p9
1399.0000 M14 1178700 3 1304.0000 c132 gangs9 78 N c132->w175->c98->p9
1405.6000 M54 902010 3 1035.6000 p15 gangs11 82 N p15->w177->w175->p49
1405.8000 M5 296032 3 1372.8000 w183 gangs11 77 N w183->c82->w175->p49
1406.2000 M11 691571 4 1333.2000 c136 gangs11 77 N c136->w183->c82->w175->p49
1413.4000 M113 247788 3 623.4000 w153 gangs9 89 N w153->w164->c106->p25
1413.5000 M46 160197 4 1100.5000 c125 gangs7 81 N c125->c129->w195->p16->p4
1413.7000 M62 323670 3 988.7000 w167 gangs7 83 N w167->w201->p16->p4
1414.4000 M2 1389931 8 1401.4000 c72 gangs1 76 N c72->p43->w162->w189->c108->w167->w201->p16->p4
1415.3000 M84 1695835 4 823.3000 p37 gangs1 86 N p37->w174->w165->p16->p4
1415.6000 M20 435826 7 1284.6000 p43 gangs1 78 N p43->w203->w189->c108->w167->w201->p16->p4
1416.6000 M92 1876798 4 764.6000 p38 gangs7 87 N p38->w174->w165->p16->p4
1416.9000 M44 588340 4 1114.9000 c124 gangs1 81 N c124->w167->w201->p16->p4
1423.5000 M48 522529 2 1098.5000 c75 gangs11 81 N c75->p57->c111
1426.4000 M104 1098599 3 697.4000 p6 gangs8 88 N p6->p15->w175->p8
1426.5000 M115 156589 2 621.5000 w159 gangs2 89 N w159->w175->p8
1442.0000 M191 1980672 3 123.0000 c87 gangs11 97 N c87->p26->c132->c108
1442.9000 M158 1206351 1 350.9000 w167 gangs6 94 N w167->p29
1452.2000 M106 1065095 2 708.2000 c83 gangs11 88 N c83->p38->c85
1453.2000 M35 1826066 6 1219.2000 c125 gangs11 79 N c125->c129->w195->p16->c83->p38->c85
1453.9000 M104 1098599 3 724.9000 p6 gangs8 87 N p6->p15->w159->c84
1454.5000 M108 1031402 3 700.5000 c119 gangs8 88 N c119->p30->w159->c84
1465.6000 M4 1611601 5 1438.6000 c129 gangs6 76 N c129->w174->p37->p43->c139->p29
1466.0000 M24 693083 3 1308.0000 c95 gangs6 78 N c95->c96->c139->p29
1466.0000 M84 1695835 3 874.0000 p37 gangs1 85 N p37->w174->w165->c86
1466.2000 M117 240487 4 649.2000 p58 gangs9 89 N p58->c127->c96->c139->p29
1466.4000 M23 327990 4 1313.4000 p31 gangs9 78 N p31->c104->c96->c139->p29
1466.7000 M150 589735 5 423.7000 p22 gangs6 92 N p22->p7->c80->c127->c139->p29
1467.7000 M38 1800661 5 1212.7000 p4 gangs0 79 N p4->p55->c127->c96->c139->p29
